Track	Label	Coverage	Length
CTCF, H3K27ac	0	9998286	379736980
CTCF, H3K27ac	1	42058173	385498880
CTCF, H3K27ac	2	1423025	25060220
CTCF, H3K27ac	3	168036598	367227004
CTCF, H3K27ac	4	6897006	300556150
CTCF, H3K27ac	5	447305201	502979181
CTCF, H3K27ac	6	274301972	469495300
CTCF, H3K27ac	7	309463	74567020
CTCF, H3K27ac	8	77590558	319140150
CTCF, H3K27ac	9	188134589	385025220
CTCF, H3K27me3	0	18270353	323839050
CTCF, H3K27me3	1	33282220	153987530
CTCF, H3K27me3	2	1358364	22245450
CTCF, H3K27me3	3	190719461	326044125
CTCF, H3K27me3	4	46594213	423565250
CTCF, H3K27me3	5	459938950	592374130
CTCF, H3K27me3	6	253333855	543947910
CTCF, H3K27me3	7	1275826	66230980
CTCF, H3K27me3	8	84583304	445682020
CTCF, H3K27me3	9	149290256	311369660
CTCF, H3K4me1	0	82402140	566145050
CTCF, H3K4me1	1	29712345	240285190
CTCF, H3K4me1	2	1492998	26513080
CTCF, H3K4me1	3	173865574	330583117
CTCF, H3K4me1	4	6240095	193332710
CTCF, H3K4me1	5	447480635	532849138
CTCF, H3K4me1	6	222981448	446838860
CTCF, H3K4me1	7	32	113976240
CTCF, H3K4me1	8	73473653	359808480
CTCF, H3K4me1	9	166936081	398954240
CTCF, H3K4me3	0	12474421	555601720
CTCF, H3K4me3	1	32167686	118982140
CTCF, H3K4me3	2	614231	136748490
CTCF, H3K4me3	3	172399539	330434826
CTCF, H3K4me3	4	11613227	348273410
CTCF, H3K4me3	5	461666194	555270129
CTCF, H3K4me3	6	268328600	462540100
CTCF, H3K4me3	7	472839	79408360
CTCF, H3K4me3	8	74917084	207135360
CTCF, H3K4me3	9	206857338	414891570
H3K27ac, H3K27me3	0	1717180	293687600
H3K27ac, H3K27me3	1	44554540	317629866
H3K27ac, H3K27me3	2	1005190	24696190
H3K27ac, H3K27me3	3	168516358	242613915
H3K27ac, H3K27me3	4	37842690	333899700
H3K27ac, H3K27me3	5	451019110	540985891
H3K27ac, H3K27me3	6	300912363	572503518
H3K27ac, H3K27me3	7	1272760	77057280
H3K27ac, H3K27me3	8	28151050	359008110
H3K27ac, H3K27me3	9	186665810	316546530
H3K27ac, H3K4me1	0	26112230	324610500
H3K27ac, H3K4me1	1	56053610	541075187
H3K27ac, H3K4me1	2	1285390	26708310
H3K27ac, H3K4me1	3	168143158	218458848
H3K27ac, H3K4me1	4	13352730	194718000
H3K27ac, H3K4me1	5	433440257	490913406
H3K27ac, H3K4me1	6	243500548	442158893
H3K27ac, H3K4me1	7	0	162096106
H3K27ac, H3K4me1	8	12515370	297287420
H3K27ac, H3K4me1	9	199775190	380601930
H3K27ac, H3K4me3	0	187870	247752490
H3K27ac, H3K4me3	1	99089350	447318080
H3K27ac, H3K4me3	2	540	184546540
H3K27ac, H3K4me3	3	168149448	221208045
H3K27ac, H3K4me3	4	3423170	281208750
H3K27ac, H3K4me3	5	452991360	514188784
H3K27ac, H3K4me3	6	258332723	399428728
H3K27ac, H3K4me3	7	468190	83573376
H3K27ac, H3K4me3	8	43300020	340351107
H3K27ac, H3K4me3	9	254691700	359052700
H3K27me3, H3K4me1	0	23962020	356776880
H3K27me3, H3K4me1	1	38553510	186302726
H3K27me3, H3K4me1	2	1025690	22819010
H3K27me3, H3K4me1	3	198481168	210468528
H3K27me3, H3K4me1	4	69017630	270971910
H3K27me3, H3K4me1	5	449926147	577863746
H3K27me3, H3K4me1	6	223525020	491081970
H3K27me3, H3K4me1	7	9597470	250963690
H3K27me3, H3K4me1	8	20266760	420044300
H3K27me3, H3K4me1	9	161598200	291335840
H3K27me3, H3K4me3	0	648880	336276340
H3K27me3, H3K4me3	1	50596150	136451656
H3K27me3, H3K4me3	2	190	131493430
H3K27me3, H3K4me3	3	198534298	207679045
H3K27me3, H3K4me3	4	54142330	429665630
H3K27me3, H3K4me3	5	463571160	595995899
H3K27me3, H3K4me3	6	261215230	519782880
H3K27me3, H3K4me3	7	1560110	74953780
H3K27me3, H3K4me3	8	50328700	373449140
H3K27me3, H3K4me3	9	189602340	272880800
H3K4me1, H3K4me3	0	23163340	368613290
H3K4me1, H3K4me3	1	70670110	318539130
H3K4me1, H3K4me3	2	280	115902760
H3K4me1, H3K4me3	3	175500408	194509255
H3K4me1, H3K4me3	4	26066140	116945900
H3K4me1, H3K4me3	5	450171450	541759472
H3K4me1, H3K4me3	6	269799530	397289770
H3K4me1, H3K4me3	7	2430	304222226
H3K4me1, H3K4me3	8	2886820	417076497
H3K4me1, H3K4me3	9	187692240	303770300
